"Observed Journey ID","Observed Journey","Canonical Journey ID","Canonical Journey","Classification","Variation Dimensions","Evidence","Confidence","Notes","Implementation Maturity"
"1.1","Open or create a cell","CJ01","establish_trusted_cell_context","canonical","actor=cell administrator; entry point=new or existing cell",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §1.1; .agents/specs/spec-full.md §7.4 SeaCell / bundle; crates/sea-forge-cell/tests/conformance_m6.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 8b","high","This is the clearest observed entry into an explicit cell context; later readiness steps refine the same journey.","evidenced"
"1.2","Recognize existing history","CJ01","establish_trusted_cell_context","variant","entry point=returning user; artifact=existing cases and ledgers; recovery path=preserve",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §1.2; .agents/specs/spec-full.md §7.0c Integrity ledger and record identity; crates/sea-forge-server/tests/conformance_run_locator.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 8b records survive stop and start","high","Returning-cell recognition varies the entry condition while preserving the trusted-context completion condition.","evidenced"
"1.3","Migrate compatible legacy history","CJ01","establish_trusted_cell_context","specialization","lifecycle stage=migration; artifact=legacy records; assurance=identity preserved",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §1.3; .agents/specs/spec-full.md §7.0c Migration and compatibility; crates/sea-forge-cli/tests/conformance_m0_migrate.rs","high","Migration is a specialized trusted-entry path because completion requires a current cell whose old evidence remains attributable.","exercised"
"1.4","Validate startup requirements","CJ01","establish_trusted_cell_context","specialization","initiating condition=startup; subject=configuration foundations; authority outcome=block invalid",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §1.4; .agents/specs/spec-minimum.md §8.5 Startup and Preflight Validation; crates/sea-forge-server/tests/conformance_lifecycle.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journeys 1 and 4","high","Startup validation is the fail-closed foundation step of trusted-context establishment.","evidenced"
"1.5","Validate and realize the Genesis Self-Model","CJ01","establish_trusted_cell_context","specialization","subject=Genesis Self-Model; artifact=release-and-cell snapshot; assurance=hash-pinned",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §1.5; .agents/specs/spec-adlc-thoth-minimum.md §10.1 Self-model integrity; crates/sea-forge-self-model/tests/conformance_m9.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 6b","high","The self-model is one required context foundation rather than a separate end-to-end journey.","evidenced"
"1.6","See readiness and assurance","CJ01","establish_trusted_cell_context","specialization","interface=Workbench readiness route; subject=foundations and capabilities; assurance=multi-state",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §1.6; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml method readiness.get; crates/sea-forge-server/src/sfwp/mod.rs method readiness.get; workbench/apps/desktop/src/router.tsx route /readiness; workbench/apps/desktop/src/pages/ReadinessPage.test.tsx","high","The view projects whether trusted context has been established without becoming a second source of truth.","exercised"
"1.7","See the next corrective action","CJ01","establish_trusted_cell_context","composition","recovery path=corrective action; authority outcome=blocked or degraded; next decision=repair or stop",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §1.7; .agents/specs/spec-minimum.md §14 Failure Model and Recovery Strategy; crates/sea-forge-server/src/sfwp/readiness.rs ReadinessItem; workbench/apps/desktop/src/pages/ReadinessPage.test.tsx; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 1b","high","This closes trusted-context diagnosis by composing readiness with the recovery step of CJ08; the general readiness behavior is test-exercised beyond the live socket-path remedy.","exercised"
"2.1","Confirm the acting identity","CJ01","establish_trusted_cell_context","specialization","actor=user; subject=resolved principal and roles; initiating condition=protected context",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §2.1; .agents/specs/spec-minimum.md §7.3.3 Actor / Context; crates/sea-forge-server/src/sfwp/mod.rs method identity.get; crates/sea-forge-server/tests/conformance_identity.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 6","high","Identity is a cross-cutting prerequisite explicitly included in trusted cell context.","evidenced"
"2.2","Resolve identity failures safely","CJ01","establish_trusted_cell_context","variant","authority outcome=identity refusal; recovery path=resolve binding; side effects=none",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §2.2; .agents/specs/spec-minimum.md §10.2 Authority Gating; crates/sea-forge-server/tests/conformance_identity.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 6","high","A missing or conflicting identity is the fail-closed outcome variant of identity establishment.","evidenced"
"2.3","Sponsor automated actors","CJ01","establish_trusted_cell_context","specialization","actor=agent sponsor; subject=automated actor; authority=sponsorship binding",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §2.3; .agents/specs/spec-agent-orchestration.md §10.1 Authority and Isolation; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml method sponsorship.request; crates/sea-forge-server/tests/conformance_identity.rs","high","Sponsorship extends attributable actor context to automation before governed execution.","exercised"
